Lon,Lat,Size,Intensity
-88.43,28.11,128.5,31.6
-89.79,28.83,77.7,21.1
-88.97,29.18,68.3,20.4
-86.79,28.53,62.5,35.0
-88.2,30.52,58.4,21.3
-85.09,26.43,59.3,21.6
-87.69,29.22,68.9,18.1
-86.98,30.55,87.1,35.0
-88.69,28.98,90.3,33.9
-89.44,28.08,69.6,18.7
-88.98,28.44,63.7,24.5
-88.81,27.58,64.8,18.9
-87.97,25.77,86.3,20.3
-87.31,27.71,61.6,21.4
-89.23,28.78,54.6,18.9
-88.41,31.53,68.7,22.6
-87.52,27.7,83.3,33.6
-88.8,27.47,74.7,19.2
-88.96,28.61,89.0,33.8
-87.66,28.48,121.8,32.1
-85.89,28.88,65.6,19.6
-86.33,27.98,69.2,20.2
-86.89,26.42,83.1,32.8
-88.7,29.02,58.3,23.9
-84.96,29.24,80.1,25.6
-89.11,29.56,97.0,33.9
-84.86,28.72,96.7,33.5
-87.71,28.81,68.3,19.5
-87.25,28.67,44.8,13.0
-87.27,27.18,81.9,33.3
-90.0,28.51,74.9,23.4
-86.87,29.43,71.7,21.1
-85.56,28.88,69.0,18.3
-86.89,27.97,73.6,19.7
-87.59,27.43,49.3,22.3
-88.43,27.98,88.6,21.7
-88.02,27.55,65.5,21.9
-87.05,28.14,59.3,21.3
-86.2,30.5,72.7,22.1
-88.17,28.2,78.3,34.1
-86.17,27.95,68.5,17.0
-87.02,29.45,62.0,35.6
-85.91,30.31,79.5,26.1
-87.38,28.97,86.9,34.1
-87.82,28.84,73.9,23.5
-87.59,29.03,80.2,21.5
-87.86,29.49,62.1,25.9
-87.94,26.86,99.6,32.3
-87.0,29.37,66.6,19.6
-86.03,27.17,78.4,24.3
-87.87,28.83,92.9,33.7
-88.62,29.69,92.9,34.2
-87.19,28.95,106.7,33.1
-86.57,28.97,66.3,20.5
-88.97,26.6,82.7,24.2
-85.91,30.35,54.7,20.6
-87.16,28.9,90.5,24.0
-88.42,27.83,78.2,24.7
-86.52,26.41,79.5,21.5
-88.21,30.5,20.3,38.3
-89.12,27.05,63.3,22.3
-85.93,29.49,115.5,33.0
-88.29,29.03,45.5,15.0
-89.1,30.11,85.3,24.8
-86.52,27.67,47.7,21.9
-85.22,28.46,63.8,35.0
-88.28,27.78,55.8,20.7
-86.87,27.08,28.3,35.9
-88.11,28.93,75.9,24.7
-84.66,27.58,95.9,32.9
-87.93,28.62,72.2,20.1
-89.94,28.71,97.0,23.7
-86.68,28.35,57.2,23.0
-89.99,31.16,39.3,10.4
-87.29,27.05,84.2,23.4
-88.21,28.35,26.1,36.7
-86.98,29.24,67.6,19.1
-88.26,29.12,77.4,24.2
-87.61,27.33,71.3,18.1
-88.0,27.78,60.4,20.0
-86.66,30.44,47.8,19.4
-87.52,28.43,84.8,33.9
-88.24,29.07,68.7,17.8
-89.55,29.66,56.0,22.1
-88.48,27.64,122.9,31.6
-86.64,28.65,65.2,22.4
-87.48,29.59,44.8,18.5
-86.1,28.33,61.8,25.0
-88.98,29.44,48.4,17.6
-86.89,27.0,11.6,36.7
-87.05,27.2,57.3,20.2
-85.94,26.78,48.0,34.8
-86.6,28.27,61.8,22.2
-87.27,28.99,80.9,34.4
-86.47,28.81,68.8,19.4
-90.3,28.15,93.5,33.3
-86.18,28.16,74.1,18.3
